"CAMIS","DBA","CUISINE.DESCRIPTION","full.address","lon","lat"
41472439,"SAINT ANSELM","American","metropolitan avenue 355 , NY, US",-73.9560569,40.7142734
50048098,"LEGENDS HOSPITALITY LLC","American","e 161st st 1 , NY, US",-73.9265691,40.8288189
40385587,"ISLAND","Seafood","madison avenue 1305 , NY, US",-73.9555364,40.7849229
41617534,"DUNKIN' DONUTS","American","86 street 1510 , NY, US",-74.009428,40.6110512
50050503,"GUNTER SEEGER NY","Other","hudson st 641 , NY, US",-74.0057897,40.7390283
50051386,"BTWXTD","CafÌÄå©/Coffee/Tea","vanderbilt ave 609 , NY, US",-73.9680656,40.6790889
41655590,"GIGI CAFE","American","7 avenue 307 , NY, US",-73.9932482,40.7467924
50036808,"DOUBLE DRAGON","Chinese","avenue l 8712 , NY, US",-73.9022396,40.6339871
40948100,"BLUE SKY BAKERY","Bakery","5 avenue 53 , NY, US",-73.9943748,40.7348633
41560849,"CIRCLE LINE MANHATTAN","American","west 42 street 0 , NY, US",-73.980932,40.7534873
50009004,"TINY DELICATESSEN","Delicatessen","norhtern blvd 51-24B , NY, US",-74.1068859,40.6131017
50044265,"NEW TASTE RESTAURANT","Chinese","corona ave 9462 , NY, US",-73.867954,40.741936
50050291,"BLAK IRIS","Mediterranean","greene ave 293 , NY, US",-73.9600841,40.6873877
50054218,"CAFE AMERICANO","American","lexington ave 964 , NY, US",-73.9632554,40.769437
50043035,"SUBWAY","Sandwiches/Salads/Mixed Buffet","jamaica ave 8020 , NY, US",-73.8615763,40.6920627
41213441,"N.Y. ACADEMY OF SCIENCE","American","greenwich street 250 , NY, US",-74.0121273,40.713351
41554118,"ANTIKA PIZZERIA","Pizza/Italian","broadway 3924 , NY, US",-73.941091,40.8386366
50018028,"SPACE GABI ( Pink by Ele)","CafÌÄå©/Coffee/Tea","5th ave 290 , NY, US",-73.986505,40.7463271
50003435,"THE UNCOMMONS","Delicatessen","thompson st 230 , NY, US",-73.9986252,40.7292862
40783655,"GEORGIOS COUNTRY GRILL","American","9 avenue 801 , NY, US",-73.987812,40.7656009
50001588,"TURNMILL","Irish","east 27 street 119 , NY, US",-73.9835928,40.7425169
41475604,"NEW MING HING KITCHEN","Chinese","avenue p 380 , NY, US",-73.973525,40.608486
50056274,"MARLOW BISTRO","Other","amsterdam ave 1018 , NY, US",-73.9642863,40.802973
41263308,"HUANG JIA SEAFOOD RESTAURANT","Chinese","8 avenue 4111 , NY, US",-73.9356919,40.8314779
50039098,"K CRUST","Jewish/Kosher","60th st 1368 , NY, US",-73.9969889,40.627656
41537949,"LZ SUSHI","Japanese","7 avenue 355 , NY, US",-73.9923498,40.7482509
50038252,"129 GOURMET DELI","Egyptian","e 45th st 129 , NY, US",-73.9742848,40.7533859
41628486,"KFC","Chicken","jamaica avenue 8719 , NY, US",-73.8514701,40.6939312
41398824,"VARIETY CAFE","CafÌÄå©/Coffee/Tea","driggs avenue 145 , NY, US",-73.9442996,40.7229085
41635792,"LIANG XIAN GARDEN","Chinese","sutter avenue 587 , NY, US",-73.897389,40.6692179
50033046,"LUCKY BAKERY","Bakery","roosevelt ave 13620 , NY, US",-73.8290939,40.759362
50054185,"LUCKYHE INC","Other","hillside ave 21840 , NY, US",-73.7454289,40.7289651
41705626,"ZUCKER'S BAGEL","Delicatessen","lexington avenue 370 , NY, US",-73.9767958,40.750761
50054953,"SIX2 RESTAURANT & BAKERY","Caribbean","clarkson ave 1101 , NY, US",-73.9217911,40.6602888
