"CAMIS","DBA","CUISINE.DESCRIPTION","full.address","lon","lat"
50046777,"INCH AWAY","American","bath ave 1647 , NY, US",-74.0091973,40.6059383
41067696,"THE MODERN","French","west   53 street 11 , NY, US",-73.9771203,40.761417
50037518,"SUBWAY","Sandwiches/Salads/Mixed Buffet","137th ave 16991 , NY, US",-73.77059,40.6734634
41444291,"THINK COFFEE","Caf̩/Coffee/Tea","4 avenue 123 , NY, US",-73.989638,40.7329659
40483694,"MINSKOFF THEATER","American","west   45 street 200 , NY, US",-73.9860017,40.7578273
50014408,"MCDONALD'S","American","3rd ave 7124 , NY, US",-73.9906154,40.7286292
41543188,"GOOKIES KITCHEN","Chinese","merrick boulevard 23420 , NY, US",-73.7357492,40.6740905
50040832,"GOOD FRIEND RESTAURANT","Chinese","e burnside ave 114 , NY, US",-73.9053628,40.852944
50052325,"DOMO TACO","Tex-Mex","willoughby st 66 , NY, US",-73.9860812,40.6920224
50051750,"TOKYO ARIRANG","Japanese","new dorp ln 366 , NY, US",-74.1104591,40.5705825
40395055,"BECCO","Italian","west   46 street 355 , NY, US",-73.9898224,40.7608056
50036129,"SESSANTA","American","thompson st 60 , NY, US",-74.0031077,40.7239619
50047806,"DING","Chinese","w 48th st 234 , NY, US",-73.9863518,40.7605461
50044510,"LITTLE CAESARS PIZZA","Pizza","nostrand ave 1448 , NY, US",-73.9498506,40.6510324
40952198,"EMACK & BOLIO'S","Ice Cream, Gelato, Yogurt, Ices","amsterdam avenue 389 , NY, US",-73.978256,40.782798
50048354,"MISUENO TEX RESTAURANT","Mexican","wyckoff ave 283 , NY, US",-73.9130679,40.7008502
50046895,"AVERE RISTORANTE","Italian","duffield st 222 , NY, US",-73.9849649,40.6915079
50017063,"MEZQUITE","Mexican","30th ave 4506 , NY, US",-73.9108222,40.7618006
50044612,"Bar at the Garden","American","penn plz 4 , NY, US",-73.9937515,40.7507042
50000020,"IL POMODORO","Italian","huguenot ave 896 , NY, US",-74.1924018,40.5325745
50010055,"NEW HONG KONG","Chinese","154th st 1017 , NY, US",-73.8069062,40.7924397
40992090,"MCDONALD'S","Hamburgers","page avenue 260 , NY, US",-74.234756,40.5177192
41306801,"DUNKIN' DONUTS","American","east  170 street 140 , NY, US",-73.9150038,40.838904
41262792,"POPEYES LOUISIANA KITCHEN","Chicken","west  172 street 601 , NY, US",-73.9382718,40.8437622
50034380,"KRAVE IT","Pizza","bell blvd 4015 , NY, US",-73.7708634,40.763867
50037179,"NORTH VILLAGE DELI","American","8th ave 78 , NY, US",-74.0024528,40.7394869
40882825,"VERONA PIZZA","Pizza","20 avenue 6113 , NY, US",-73.9836632,40.6183488
41464273,"NO. 1 CHINA GARDEN KITCHEN","Chinese","edward l grant highway 1349 , NY, US",-73.921679,40.840147
41630803,"VANESSA'S DUMPLING HOUSE","Chinese","bedford avenue 310 , NY, US",-73.9619835,40.7138184
50000351,"MILKFLOWER","Pizza","31st ave 3412 , NY, US",-73.9207925,40.7628016
50015081,"XI'AN FAMOUS FOODS","Chinese","e 78th st 328 , NY, US",-73.9545012,40.771994
50033327,"LUCKY CORNAGA CHINESE RESTAURANT","Chinese","cornaga ave 1420 , NY, US",-73.7495174,40.6027788
50055969,"GREGORYS COFFEE","Other","7th ave 762 , NY, US",-73.9832632,40.7611362
41687073,"THE QUARTER","American","hudson street 522 , NY, US",-74.0060337,40.7339688
41705479,"NEW SIU'S KITCHEN","Chinese","church avenue 4324 , NY, US",-73.9363399,40.6512451
41495911,"ARIA","Italian","perry street 117 , NY, US",-74.0067227,40.7351601
41712855,"CHINA KING","Chinese","lexington avenue 2026 , NY, US",-73.9384478,40.8033587
50012690,"A SPICE LANE","Indian","3rd ave 216 , NY, US",-73.9853648,40.7362542
40382057,"DYKER BEACH GOLF (GRILL ROOM)","American","86th street 1020 , NY, US",-73.9448149,40.7749446
50049181,"CAFFEBENE","Caf̩/Coffee/Tea","barrow st 33 , NY, US",-74.0033009,40.7322651
41403177,"FIVE STAR DINER BANQUET AND RESTAURANT","Indian","43 avenue 1315 , NY, US",-73.9458025,40.7509818
50046614,"FALCON LAUNDRY","American","n 7th st 65 , NY, US",-73.961103,40.7200922
41362565,"BASCOM CATERING & EVENTS","American","garrison avenue 940 , NY, US",-73.8905065,40.8182031
41351748,"SUBWAY","Sandwiches","white plains road 2703 , NY, US",-73.8676565,40.8656891
41299315,"FOXY GENTLEMEN'S CLUB","American","surf avenue 1201 , NY, US",-73.9798129,40.5757419
50049236,"HAMILTON'S BAKERY","American","broadway 3570 , NY, US",-73.9493844,40.8273468
50008409,"CANTEEN M - CITIZEN M","Caf̩/Coffee/Tea","w 50th st 218 , NY, US",-73.984968,40.761561
41593372,"MY PIZZA","Pizza","west tremont avenue 301 , NY, US",-73.9207728,40.8540264
40579745,"CHICKEN HOLIDAY EXPRESS","Chicken","victory boulevard 3785 , NY, US",-74.1822255,40.5975145
50017231,"ALBA BAR CAFE","Caf̩/Coffee/Tea","williamsbridge rd 2460 , NY, US",-73.857463,40.862322
50033110,"39 KARAOKE","Chinese","39th st 820 , NY, US",-73.9996873,40.7588965
41716520,"SKINNY DENNIS","American","metropolitan avenue 152 , NY, US",-73.9621765,40.7158685
50047736,"TALON BAR","Other","wyckoff ave 220 , NY, US",-73.914362,40.701042
50043992,"FRIED ICE YOGURT","Ice Cream, Gelato, Yogurt, Ices","3rd ave 9104 , NY, US",-73.9906154,40.7286292
50043374,"WALTER'S COTTAGE","Other","w 43rd st 500 , NY, US",-73.9953977,40.760252
50053424,"YUMMY GRILL","Other","avenue j 1519 , NY, US",-73.9606989,40.6252413
50036928,"IMPERIAL BAKERY","Bakery","liberty ave 1047 , NY, US",-73.8704839,40.6783625
40593528,"BLOCKHEADS","Mexican","west   50 street 322 , NY, US",-73.9875836,40.7627665
41655176,"STUDIO KRUAT","American","8 ave 160 , NY, US",-74.000451,40.742015
50053036,"THE MERCURY LOUNGE","Other","e houston st 217 , NY, US",-73.9867935,40.72209
50013562,"CHINA THAI","Chinese","flatbush ave 867 , NY, US",-73.9586407,40.6509921
41104587,"BURGER KING","Hamburgers","broadway 1313 , NY, US",-73.988152,40.750155
41512992,"BAY RIDGE DINER","American","5 avenue 8017 , NY, US",-73.9729109,40.7644781
50043487,"DUNKIN' DONUTS, BASKIN ROBBINS","Donuts","church ave 5901 , NY, US",-73.9215901,40.6527711
50009827,"PIO BAGEL","Bagels/Pretzels","lawrence st 134 , NY, US",-73.9864053,40.6920086
50010287,"BAR 245","American","s 1st st 245 , NY, US",-73.9579152,40.7127691
50000522,"JUST SALAD","Salads","third ave 1471 , NY, US",-73.954966,40.7769
50009225,"BAR CHUKO","Japanese","vanderbilt ave 565 , NY, US",-73.967422,40.680753
41094647,"GOLDEN KRUST CARIBBEAN BAKERY & GRILL","Caribbean","boston road 1299 , NY, US",-73.9002194,40.8314954
50042744,"AZTEC SOUL","Mexican","atlantic ave 3372 , NY, US",-73.8718168,40.6813081
41480442,"ATLANTICA","American","chelsea piers PIER 62 , NY, US",-74.0059413,40.7127837
41395386,"CATCH OF THE DAY","American","roosevelt avenue 126 , NY, US",-73.8247108,40.7607527
50054181,"DEAF  WELLNESS & RECREATION CENTER","American","surf ave 1047 , NY, US",-73.9794242,40.5758042
41662070,"THE LITTLE PRINCE","French","prince street 199 , NY, US",-74.0027222,40.7268432
50054899,"MIRA","Other","union tpke 15311 , NY, US",-73.8101525,40.7198484
50015402,"FISHNET FRESH SEAFOOD","Seafood","e 98th st 345 , NY, US",-73.9483763,40.7865422
50035344,"RADHUNI SWEETS & RESTAURANT","Bangladeshi","mcdonald ave 483 , NY, US",-73.9790939,40.6423903
41258369,"BLACK RABBIT BAR","American","greenpoint avenue 91 , NY, US",-73.9566163,40.7301748
41140612,"STARBUCKS","Caf̩/Coffee/Tea","7 avenue 870 , NY, US",-73.981184,40.7647208
50044866,"QUINOA KITCHEN","American","bedford ave 287 , NY, US",-73.9613802,40.7139811
41009192,"HOT POT JAMAICAN & AMERICAN CUISINE","Caribbean","springfield boulevard 11632 , NY, US",-73.7436361,40.6968778
50045187,"SPRING GARDEN CHINESE RESTAURANT","Chinese","washington ave 1288 , NY, US",-73.9057919,40.8327317
50032592,"MAD 46","American","e 45th st 45 , NY, US",-73.9774787,40.7547501
50039710,"FOREST PARK SNACK BAR","American","forest park dr 101 , NY, US",-73.8659678,40.6980396
41362540,"AUNT BUTCHIES/ REVIVE BAR","Sandwiches","jfk international airport 0 , NY, US",-73.7781391,40.6413111
50016856,"CHINA GREEN DIM SUM RESTAURANT","Chinese","w 46th st 368 , NY, US",-73.9903812,40.7606324
50053086,"TIKKA INDIAN GRILL","Indian","metropolitan ave 11930 , NY, US",-73.8311086,40.7056758
41328998,"SEVA INDIAN CUISINE","Indian","34 street 3007 , NY, US",-73.9189791,40.7654318
50045720,"HAAB","Mexican","leonard st 202 , NY, US",-74.001754,40.7157378
41632480,"KENNEDY FRIED CHICKEN","American","white plains road 3534 , NY, US",-73.865626,40.8779918
50003696,"DEE DAA","Thai","w 31st st 132 , NY, US",-73.990655,40.7483005
50049596,"HENRIETTA HUDSON","American","hudson st 438 , NY, US",-74.0064209,40.7310687
40538565,"FOUR SEASONS HOTEL","American","east   57 street 57 , NY, US",-73.9716063,40.7621879
41717827,"MON HING RESTAURANT","Chinese","albany avenue 497 , NY, US",-73.9398508,40.6627743
50048029,"BEANS & GREENS KOSHER","Jewish/Kosher","w 19th st 121 , NY, US",-73.995619,40.741105
50053573,"FLOVORFUL CHILLI PEPPER","Chinese","8th ave 6301 , NY, US",-74.0113348,40.6333829
50000064,"PANAME","French","2nd ave 1068 , NY, US",-73.9654394,40.7586831
40382679,"REGENCY HOTEL","American","park avenue 540 , NY, US",-73.9691467,40.764497
41476227,"TANDOOR PALACE","Indian","fulton street 88 , NY, US",-74.0058365,40.7091006
50017697,"JUST DESSERTS","Chinese","18th ave 7211 , NY, US",-73.9943333,40.6147013
50007126,"PAX","American","e 42nd st 202 , NY, US",-73.9742121,40.7504532
41395380,"STAND 112","American","roosevelt avenue 126 , NY, US",-73.8247108,40.7607527
41544844,"MANGIA","Italian","west   57 street 50 , NY, US",-73.9766094,40.7637825
50014469,"EMERALD FORTUNE","Chinese","kings hwy 318 , NY, US",-73.9785504,40.604762
41710756,"FRANNY'S","Italian","flatbush avenue 346348 , NY, US",-73.9441461,40.6295097
50043885,"BOTTOMS UP/VODKA SODA","American","w 46th st 315 , NY, US",-73.9886639,40.760288
50051245,"MORSEL","Other","flushing ave 630 , NY, US",-73.9486322,40.6996552
50002674,"LIQUITERIA","Juice, Smoothies, Fruit Salads","union square west 41 , NY, US",-73.9907287,40.7371449
41542466,"SOIGNE","American","6 avenue 486 , NY, US",-73.997339,40.736083
41621706,"CAFE BENCH","American","northern boulevard 19409 , NY, US",-73.7871917,40.7579308
40564411,"LE PAIN QUOTIDIEN","Bakery","madison avenue 1131 , NY, US",-73.9593889,40.779726
41313114,"NEW YORK INSTITUTE OF TECHNOLOGY","American","broadway 1849 , NY, US",-73.9827625,40.7694322
41670188,"KING'S CHEF CHINESE RESTAURANT","Chinese","prospect avenue 1095 , NY, US",-73.8993456,40.8259871
50038028,"CROISSANTERIA","French","avenue a 68 , NY, US",-73.9844411,40.724624
40750451,"THE COURTYARD ALE HOUSE","American","queens boulevard 4018 , NY, US",-73.9237307,40.7433399
41636209,"INTI N.Y.C.","Peruvian","10 avenue 820 , NY, US",-73.9894157,40.7674037
41372275,"WILFIE & NELL","Irish","west    4 street 228 , NY, US",-74.0031547,40.7340486
50018425,"AUX MERVEILLEUX DE FRED","Bakery","8th ave 37 , NY, US",-74.0040408,40.7382565
41236501,"DUNKIN'  DONUTS","Donuts","canal street 381 , NY, US",-74.0045899,40.721644
40677193,"BIG JONS PIZZA & RESTAURANT","Pizza","jamaica avenue 21911 , NY, US",-73.7358458,40.7185572
50050696,"TBAAR","Juice, Smoothies, Fruit Salads","roosevelt ave 13620 , NY, US",-73.8290939,40.759362
